movieNm,openDt,date,ratio
오즈의 마법사: 요술구두와 말하는 책,20200122,2020-01-15,18.5
오즈의 마법사: 요술구두와 말하는 책,20200122,2020-01-22,18.3
오즈의 마법사: 요술구두와 말하는 책,20200122,2020-01-29,14.5
하이큐!! 땅 VS 하늘,20200123,2019-12-26,5.8
하이큐!! 땅 VS 하늘,20200123,2020-01-02,9.0
하이큐!! 땅 VS 하늘,20200123,2020-01-09,16.6
하이큐!! 땅 VS 하늘,20200123,2020-01-16,22.3
하이큐!! 땅 VS 하늘,20200123,2020-01-23,32.0
하이큐!! 땅 VS 하늘,20200123,2020-01-30,16.3
정직한 후보,20200212,2020-01-15,31.5
정직한 후보,20200212,2020-01-22,27.4
정직한 후보,20200212,2020-01-29,38.4
정직한 후보,20200212,2020-02-05,73.4
정직한 후보,20200212,2020-02-12,86.6
정직한 후보,20200212,2020-02-19,46.8
인셉션,20100721,2010-06-23,17.6
인셉션,20100721,2010-06-30,22.1
인셉션,20100721,2010-07-07,45.5
인셉션,20100721,2010-07-14,73.4
인셉션,20100721,2010-07-21,85.1
인셉션,20100721,2010-07-28,56.2
클로젯,20200205,2020-01-08,25.1
클로젯,20200205,2020-01-15,25.2
클로젯,20200205,2020-01-22,56.5
클로젯,20200205,2020-01-29,92.1
클로젯,20200205,2020-02-05,97.6
클로젯,20200205,2020-02-12,66.4
핑크퐁 시네마 콘서트 : 우주대탐험,20200130,2020-01-02,5.0
핑크퐁 시네마 콘서트 : 우주대탐험,20200130,2020-01-09,5.0
핑크퐁 시네마 콘서트 : 우주대탐험,20200130,2020-01-16,6.0
핑크퐁 시네마 콘서트 : 우주대탐험,20200130,2020-01-23,8.4
핑크퐁 시네마 콘서트 : 우주대탐험,20200130,2020-01-30,11.3
핑크퐁 시네마 콘서트 : 우주대탐험,20200130,2020-02-06,6.4
나이트 헌터,20200129,2020-01-01,5.0
나이트 헌터,20200129,2020-01-08,5.0
나이트 헌터,20200129,2020-01-15,7.0
나이트 헌터,20200129,2020-01-22,10.0
나이트 헌터,20200129,2020-01-29,13.2
나이트 헌터,20200129,2020-02-05,7.8
지푸라기라도 잡고 싶은 짐승들,20200219,2020-01-22,14.7
지푸라기라도 잡고 싶은 짐승들,20200219,2020-01-29,31.4
지푸라기라도 잡고 싶은 짐승들,20200219,2020-02-05,34.2
지푸라기라도 잡고 싶은 짐승들,20200219,2020-02-12,53.1
지푸라기라도 잡고 싶은 짐승들,20200219,2020-02-19,74.2
지푸라기라도 잡고 싶은 짐승들,20200219,2020-02-26,36.5
버즈 오브 프레이(할리 퀸의 황홀한 해방),20200205,2020-01-08,12.7
버즈 오브 프레이(할리 퀸의 황홀한 해방),20200205,2020-01-15,15.1
버즈 오브 프레이(할리 퀸의 황홀한 해방),20200205,2020-01-22,29.6
버즈 오브 프레이(할리 퀸의 황홀한 해방),20200205,2020-01-29,44.5
버즈 오브 프레이(할리 퀸의 황홀한 해방),20200205,2020-02-05,58.2
버즈 오브 프레이(할리 퀸의 황홀한 해방),20200205,2020-02-12,36.0
페인 앤 글로리,20200205,2020-01-08,6.0
페인 앤 글로리,20200205,2020-01-15,7.1
페인 앤 글로리,20200205,2020-01-22,11.2
페인 앤 글로리,20200205,2020-01-29,19.7
페인 앤 글로리,20200205,2020-02-05,21.1
페인 앤 글로리,20200205,2020-02-12,13.9
조조 래빗,20200205,2020-01-08,11.3
조조 래빗,20200205,2020-01-15,15.2
조조 래빗,20200205,2020-01-22,24.6
조조 래빗,20200205,2020-01-29,39.2
조조 래빗,20200205,2020-02-05,36.2
조조 래빗,20200205,2020-02-12,31.7
작은 아씨들,20200212,2020-01-15,21.4
작은 아씨들,20200212,2020-01-22,29.4
작은 아씨들,20200212,2020-01-29,39.9
작은 아씨들,20200212,2020-02-05,59.4
작은 아씨들,20200212,2020-02-12,74.9
작은 아씨들,20200212,2020-02-19,43.2
극장판 미니특공대: 공룡왕 디노,20200206,2020-01-09,10.2
극장판 미니특공대: 공룡왕 디노,20200206,2020-01-16,11.7
극장판 미니특공대: 공룡왕 디노,20200206,2020-01-23,15.5
극장판 미니특공대: 공룡왕 디노,20200206,2020-01-30,26.2
극장판 미니특공대: 공룡왕 디노,20200206,2020-02-06,26.4
극장판 미니특공대: 공룡왕 디노,20200206,2020-02-13,16.0
이 멋진 세계에 축복을! 붉은 전설,20200206,2020-01-09,8.0
이 멋진 세계에 축복을! 붉은 전설,20200206,2020-01-16,7.4
이 멋진 세계에 축복을! 붉은 전설,20200206,2020-01-23,12.2
이 멋진 세계에 축복을! 붉은 전설,20200206,2020-01-30,20.6
이 멋진 세계에 축복을! 붉은 전설,20200206,2020-02-06,27.4
이 멋진 세계에 축복을! 붉은 전설,20200206,2020-02-13,18.2
기생충,20190530,2019-05-02,24.0
기생충,20190530,2019-05-09,33.6
기생충,20190530,2019-05-16,48.2
기생충,20190530,2019-05-23,68.4
기생충,20190530,2019-05-30,97.5
기생충,20190530,2019-06-06,59.5
수퍼 소닉,20200212,2020-01-15,12.0
수퍼 소닉,20200212,2020-01-22,13.6
수퍼 소닉,20200212,2020-01-29,18.8
수퍼 소닉,20200212,2020-02-05,35.0
수퍼 소닉,20200212,2020-02-12,32.6
수퍼 소닉,20200212,2020-02-19,23.9
극장판 원피스 스탬피드,20200213,2020-01-16,7.8
극장판 원피스 스탬피드,20200213,2020-01-23,10.1
극장판 원피스 스탬피드,20200213,2020-01-30,11.5
극장판 원피스 스탬피드,20200213,2020-02-06,19.3
극장판 원피스 스탬피드,20200213,2020-02-13,26.5
극장판 원피스 스탬피드,20200213,2020-02-20,16.3
1917,20200219,2020-01-22,10.6
1917,20200219,2020-01-29,21.9
1917,20200219,2020-02-05,23.8
1917,20200219,2020-02-12,39.7
1917,20200219,2020-02-19,39.4
1917,20200219,2020-02-26,23.6
"하이, 젝시",20200219,2020-01-22,5.0
"하이, 젝시",20200219,2020-01-29,5.8
"하이, 젝시",20200219,2020-02-05,5.6
"하이, 젝시",20200219,2020-02-12,8.7
"하이, 젝시",20200219,2020-02-19,10.6
"하이, 젝시",20200219,2020-02-26,7.6
숀더쉽 더 무비: 꼬마 외계인 룰라!,20200219,2020-01-22,5.1
숀더쉽 더 무비: 꼬마 외계인 룰라!,20200219,2020-01-29,5.7
숀더쉽 더 무비: 꼬마 외계인 룰라!,20200219,2020-02-05,8.6
숀더쉽 더 무비: 꼬마 외계인 룰라!,20200219,2020-02-12,10.1
숀더쉽 더 무비: 꼬마 외계인 룰라!,20200219,2020-02-19,13.3
숀더쉽 더 무비: 꼬마 외계인 룰라!,20200219,2020-02-26,7.2
신의 한 수: 귀수편,20191107,2019-10-10,26.7
신의 한 수: 귀수편,20191107,2019-10-17,21.9
신의 한 수: 귀수편,20191107,2019-10-24,35.7
신의 한 수: 귀수편,20191107,2019-10-31,59.8
신의 한 수: 귀수편,20191107,2019-11-07,69.1
신의 한 수: 귀수편,20191107,2019-11-14,49.4
젠틀맨,20200226,2020-01-29,5.5
젠틀맨,20200226,2020-02-05,7.1
젠틀맨,20200226,2020-02-12,11.1
젠틀맨,20200226,2020-02-19,16.2
젠틀맨,20200226,2020-02-26,19.6
젠틀맨,20200226,2020-03-04,12.9
인비저블맨,20200226,2020-01-29,15.8
인비저블맨,20200226,2020-02-05,17.3
인비저블맨,20200226,2020-02-12,24.9
인비저블맨,20200226,2020-02-19,40.9
인비저블맨,20200226,2020-02-26,48.5
인비저블맨,20200226,2020-03-04,31.3
해리포터와 아즈카반의 죄수,20040716,2004-06-18,15.2
해리포터와 아즈카반의 죄수,20040716,2004-06-25,30.0
해리포터와 아즈카반의 죄수,20040716,2004-07-02,35.6
해리포터와 아즈카반의 죄수,20040716,2004-07-09,60.6
해리포터와 아즈카반의 죄수,20040716,2004-07-16,80.8
해리포터와 아즈카반의 죄수,20040716,2004-07-23,52.8
시원찮은 그녀를 위한 육성방법 피날레,20200227,2020-01-30,7.0
시원찮은 그녀를 위한 육성방법 피날레,20200227,2020-02-06,7.5
시원찮은 그녀를 위한 육성방법 피날레,20200227,2020-02-13,14.3
시원찮은 그녀를 위한 육성방법 피날레,20200227,2020-02-20,17.3
시원찮은 그녀를 위한 육성방법 피날레,20200227,2020-02-27,23.7
시원찮은 그녀를 위한 육성방법 피날레,20200227,2020-03-05,11.6
장마,20200227,2020-01-30,5.1
장마,20200227,2020-02-06,5.5
장마,20200227,2020-02-13,7.7
장마,20200227,2020-02-20,12.1
장마,20200227,2020-02-27,13.9
장마,20200227,2020-03-05,8.9
엠마,20200227,2020-01-30,5.0
엠마,20200227,2020-02-06,7.9
엠마,20200227,2020-02-13,14.4
엠마,20200227,2020-02-20,20.8
엠마,20200227,2020-02-27,26.2
엠마,20200227,2020-03-05,18.6
더 보이 2: 돌아온 브람스,20200305,2020-02-06,6.0
더 보이 2: 돌아온 브람스,20200305,2020-02-13,6.9
더 보이 2: 돌아온 브람스,20200305,2020-02-20,8.9
더 보이 2: 돌아온 브람스,20200305,2020-02-27,15.7
더 보이 2: 돌아온 브람스,20200305,2020-03-05,19.6
더 보이 2: 돌아온 브람스,20200305,2020-03-12,11.3
울프 콜,20200305,2020-02-06,5.5
울프 콜,20200305,2020-02-13,7.4
울프 콜,20200305,2020-02-20,9.9
울프 콜,20200305,2020-02-27,12.8
울프 콜,20200305,2020-03-05,17.3
울프 콜,20200305,2020-03-12,10.4
어바웃 타임,20131205,2013-11-07,22.7
어바웃 타임,20131205,2013-11-14,25.4
어바웃 타임,20131205,2013-11-21,44.1
어바웃 타임,20131205,2013-11-28,77.4
어바웃 타임,20131205,2013-12-05,98.8
어바웃 타임,20131205,2013-12-12,65.2
그링고,20200305,2020-02-06,6.3
그링고,20200305,2020-02-13,9.8
그링고,20200305,2020-02-20,14.7
그링고,20200305,2020-02-27,18.7
그링고,20200305,2020-03-05,22.6
그링고,20200305,2020-03-12,12.1
다크 워터스,20200311,2020-02-12,11.1
다크 워터스,20200311,2020-02-19,15.4
다크 워터스,20200311,2020-02-26,21.7
다크 워터스,20200311,2020-03-04,34.2
다크 워터스,20200311,2020-03-11,46.9
다크 워터스,20200311,2020-03-18,23.6
스타 이즈 본,20181009,2018-09-11,13.8
스타 이즈 본,20181009,2018-09-18,25.8
스타 이즈 본,20181009,2018-09-25,37.0
스타 이즈 본,20181009,2018-10-02,58.8
스타 이즈 본,20181009,2018-10-09,80.1
스타 이즈 본,20181009,2018-10-16,47.6
메멘토,20010824,2001-07-27,5.0
메멘토,20010824,2001-08-03,5.0
메멘토,20010824,2001-08-10,7.4
메멘토,20010824,2001-08-17,11.6
메멘토,20010824,2001-08-24,14.3
메멘토,20010824,2001-08-31,7.5
걸즈 앤 판처 최종장,20200312,2020-02-13,6.3
걸즈 앤 판처 최종장,20200312,2020-02-20,9.7
걸즈 앤 판처 최종장,20200312,2020-02-27,13.8
걸즈 앤 판처 최종장,20200312,2020-03-05,18.2
걸즈 앤 판처 최종장,20200312,2020-03-12,23.9
걸즈 앤 판처 최종장,20200312,2020-03-19,15.8
쉰들러 리스트,19940305,1994-02-05,5.0
쉰들러 리스트,19940305,1994-02-12,10.0
쉰들러 리스트,19940305,1994-02-19,18.3
쉰들러 리스트,19940305,1994-02-26,21.7
쉰들러 리스트,19940305,1994-03-05,26.9
쉰들러 리스트,19940305,1994-03-12,16.0
그린 북,20190109,2018-12-12,10.0
그린 북,20190109,2018-12-19,15.3
그린 북,20190109,2018-12-26,24.5
그린 북,20190109,2019-01-02,33.5
그린 북,20190109,2019-01-09,37.8
그린 북,20190109,2019-01-16,23.6
찬실이는 복도 많지,20200305,2020-02-06,5.0
찬실이는 복도 많지,20200305,2020-02-13,5.2
찬실이는 복도 많지,20200305,2020-02-20,7.8
찬실이는 복도 많지,20200305,2020-02-27,14.0
찬실이는 복도 많지,20200305,2020-03-05,14.8
찬실이는 복도 많지,20200305,2020-03-12,10.8
세인트 아가타,20200319,2020-02-20,7.4
세인트 아가타,20200319,2020-02-27,13.1
세인트 아가타,20200319,2020-03-05,14.2
세인트 아가타,20200319,2020-03-12,21.8
세인트 아가타,20200319,2020-03-19,26.5
세인트 아가타,20200319,2020-03-26,16.4
분노의 질주: 더 익스트림,20170412,2017-03-15,13.4
분노의 질주: 더 익스트림,20170412,2017-03-22,31.8
분노의 질주: 더 익스트림,20170412,2017-03-29,37.4
분노의 질주: 더 익스트림,20170412,2017-04-05,60.5
분노의 질주: 더 익스트림,20170412,2017-04-12,75.7
분노의 질주: 더 익스트림,20170412,2017-04-19,47.5
트루먼 쇼,19981024,1998-09-26,6.2
트루먼 쇼,19981024,1998-10-03,11.8
트루먼 쇼,19981024,1998-10-10,15.8
트루먼 쇼,19981024,1998-10-17,26.5
트루먼 쇼,19981024,1998-10-24,29.7
트루먼 쇼,19981024,1998-10-31,19.2
라라랜드,20161207,2016-11-09,20.0
라라랜드,20161207,2016-11-16,29.0
라라랜드,20161207,2016-11-23,42.6
라라랜드,20161207,2016-11-30,65.3
라라랜드,20161207,2016-12-07,74.6
라라랜드,20161207,2016-12-14,45.5
스케어리 스토리:어둠의 속삭임,20200325,2020-02-26,5.7
스케어리 스토리:어둠의 속삭임,20200325,2020-03-04,7.6
스케어리 스토리:어둠의 속삭임,20200325,2020-03-11,11.6
스케어리 스토리:어둠의 속삭임,20200325,2020-03-18,18.8
스케어리 스토리:어둠의 속삭임,20200325,2020-03-25,22.3
스케어리 스토리:어둠의 속삭임,20200325,2020-04-01,17.7
주디,20200325,2020-02-26,5.0
주디,20200325,2020-03-04,6.3
주디,20200325,2020-03-11,11.3
주디,20200325,2020-03-18,15.7
주디,20200325,2020-03-25,18.7
주디,20200325,2020-04-01,12.6
사랑하고 있습니까,20200325,2020-02-26,7.0
사랑하고 있습니까,20200325,2020-03-04,9.9
사랑하고 있습니까,20200325,2020-03-11,12.1
사랑하고 있습니까,20200325,2020-03-18,18.9
사랑하고 있습니까,20200325,2020-03-25,21.8
사랑하고 있습니까,20200325,2020-04-01,15.7
페임,20090924,2009-08-27,13.8
페임,20090924,2009-09-03,14.7
페임,20090924,2009-09-10,22.9
페임,20090924,2009-09-17,39.6
페임,20090924,2009-09-24,47.9
페임,20090924,2009-10-01,29.9
날씨의 아이,20191030,2019-10-02,17.2
날씨의 아이,20191030,2019-10-09,16.6
날씨의 아이,20191030,2019-10-16,26.0
날씨의 아이,20191030,2019-10-23,45.0
날씨의 아이,20191030,2019-10-30,58.4
날씨의 아이,20191030,2019-11-06,38.9
바이올렛 에버가든 – 영원과 자동 수기 인형 -,20200326,2020-02-27,5.0
바이올렛 에버가든 – 영원과 자동 수기 인형 -,20200326,2020-03-05,5.5
바이올렛 에버가든 – 영원과 자동 수기 인형 -,20200326,2020-03-12,9.1
바이올렛 에버가든 – 영원과 자동 수기 인형 -,20200326,2020-03-19,11.1
바이올렛 에버가든 – 영원과 자동 수기 인형 -,20200326,2020-03-26,14.1
바이올렛 에버가든 – 영원과 자동 수기 인형 -,20200326,2020-04-02,9.6
너의 이름은.,20170104,2016-12-07,15.1
너의 이름은.,20170104,2016-12-14,40.0
너의 이름은.,20170104,2016-12-21,48.4
너의 이름은.,20170104,2016-12-28,72.7
너의 이름은.,20170104,2017-01-04,86.9
너의 이름은.,20170104,2017-01-11,49.5
엽문4: 더 파이널,20200401,2020-03-04,5.1
엽문4: 더 파이널,20200401,2020-03-11,6.3
엽문4: 더 파이널,20200401,2020-03-18,9.8
엽문4: 더 파이널,20200401,2020-03-25,12.0
엽문4: 더 파이널,20200401,2020-04-01,16.8
엽문4: 더 파이널,20200401,2020-04-08,11.0
n번째 이별 중,20200401,2020-03-04,5.0
n번째 이별 중,20200401,2020-03-11,5.6
n번째 이별 중,20200401,2020-03-18,7.8
n번째 이별 중,20200401,2020-03-25,11.1
n번째 이별 중,20200401,2020-04-01,14.2
n번째 이별 중,20200401,2020-04-08,10.5
더 터닝,20200402,2020-03-05,6.9
더 터닝,20200402,2020-03-12,11.6
더 터닝,20200402,2020-03-19,19.4
더 터닝,20200402,2020-03-26,22.7
더 터닝,20200402,2020-04-02,31.8
더 터닝,20200402,2020-04-09,17.6
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,20200402,2020-03-05,5.0
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,20200402,2020-03-12,7.1
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,20200402,2020-03-19,10.0
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,20200402,2020-03-26,15.4
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,20200402,2020-04-02,16.6
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,20200402,2020-04-09,11.0
봄날은 간다,20010928,2001-08-31,5.0
봄날은 간다,20010928,2001-09-07,7.1
봄날은 간다,20010928,2001-09-14,10.3
봄날은 간다,20010928,2001-09-21,16.8
봄날은 간다,20010928,2001-09-28,18.7
봄날은 간다,20010928,2001-10-05,11.9
신과 나: 100일간의 거래,20200408,2020-03-11,5.0
신과 나: 100일간의 거래,20200408,2020-03-18,6.3
신과 나: 100일간의 거래,20200408,2020-03-25,7.7
신과 나: 100일간의 거래,20200408,2020-04-01,11.7
신과 나: 100일간의 거래,20200408,2020-04-08,16.4
신과 나: 100일간의 거래,20200408,2020-04-15,10.4
오픈 더 도어,20200408,2020-03-11,8.5
오픈 더 도어,20200408,2020-03-18,7.2
오픈 더 도어,20200408,2020-03-25,11.7
오픈 더 도어,20200408,2020-04-01,18.5
오픈 더 도어,20200408,2020-04-08,23.6
오픈 더 도어,20200408,2020-04-15,13.7
사랑이 뭘까,20200409,2020-03-12,5.0
사랑이 뭘까,20200409,2020-03-19,5.3
사랑이 뭘까,20200409,2020-03-26,6.0
사랑이 뭘까,20200409,2020-04-02,12.3
사랑이 뭘까,20200409,2020-04-09,12.4
사랑이 뭘까,20200409,2020-04-16,8.4
"그 시절, 우리가 좋아했던 소녀",20120822,2012-07-25,9.3
"그 시절, 우리가 좋아했던 소녀",20120822,2012-08-01,10.2
"그 시절, 우리가 좋아했던 소녀",20120822,2012-08-08,20.0
"그 시절, 우리가 좋아했던 소녀",20120822,2012-08-15,24.4
"그 시절, 우리가 좋아했던 소녀",20120822,2012-08-22,31.3
"그 시절, 우리가 좋아했던 소녀",20120822,2012-08-29,17.8
"나는 내일, 어제의 너와 만난다",20171012,2017-09-14,11.0
"나는 내일, 어제의 너와 만난다",20171012,2017-09-21,10.3
"나는 내일, 어제의 너와 만난다",20171012,2017-09-28,15.9
"나는 내일, 어제의 너와 만난다",20171012,2017-10-05,24.7
"나는 내일, 어제의 너와 만난다",20171012,2017-10-12,36.8
"나는 내일, 어제의 너와 만난다",20171012,2017-10-19,25.4
건즈 아킴보,20200415,2020-03-18,5.0
건즈 아킴보,20200415,2020-03-25,5.6
건즈 아킴보,20200415,2020-04-01,11.3
건즈 아킴보,20200415,2020-04-08,14.6
건즈 아킴보,20200415,2020-04-15,15.9
건즈 아킴보,20200415,2020-04-22,9.7
비밀정보원: 인 더 프리즌,20200415,2020-03-18,5.0
비밀정보원: 인 더 프리즌,20200415,2020-03-25,6.1
비밀정보원: 인 더 프리즌,20200415,2020-04-01,12.2
비밀정보원: 인 더 프리즌,20200415,2020-04-08,13.7
비밀정보원: 인 더 프리즌,20200415,2020-04-15,20.7
비밀정보원: 인 더 프리즌,20200415,2020-04-22,10.7
서치 아웃,20200415,2020-03-18,6.5
서치 아웃,20200415,2020-03-25,10.5
서치 아웃,20200415,2020-04-01,16.5
서치 아웃,20200415,2020-04-08,23.7
서치 아웃,20200415,2020-04-15,27.0
서치 아웃,20200415,2020-04-22,17.7
유령선,20200415,2020-03-18,5.2
유령선,20200415,2020-03-25,6.3
유령선,20200415,2020-04-01,9.6
유령선,20200415,2020-04-08,12.4
유령선,20200415,2020-04-15,20.2
유령선,20200415,2020-04-22,10.0
로건,20170301,2017-02-01,27.4
로건,20170301,2017-02-08,26.9
로건,20170301,2017-02-15,36.6
로건,20170301,2017-02-22,74.5
로건,20170301,2017-03-01,88.1
로건,20170301,2017-03-08,44.4
라라걸,20200415,2020-03-18,5.0
라라걸,20200415,2020-03-25,6.8
라라걸,20200415,2020-04-01,8.5
라라걸,20200415,2020-04-08,15.1
라라걸,20200415,2020-04-15,17.2
라라걸,20200415,2020-04-22,12.6
레미제라블,20121219,2012-11-21,24.2
레미제라블,20121219,2012-11-28,34.1
레미제라블,20121219,2012-12-05,48.6
레미제라블,20121219,2012-12-12,70.7
레미제라블,20121219,2012-12-19,72.1
레미제라블,20121219,2012-12-26,43.0
트롤: 월드 투어,20200429,2020-04-01,14.9
트롤: 월드 투어,20200429,2020-04-08,16.9
트롤: 월드 투어,20200429,2020-04-15,23.9
트롤: 월드 투어,20200429,2020-04-22,32.1
